alpha b0 d sigma tau Gmean Gstd
6.5 1.7 1 1 1 0.0676464 0.0025895
6.5 1.9 1 1 1 0.0834498 0.00262292

6.6 1.1 1 1 1 0.000343489 0.00516919
6.6 1.3 1 1 1 0.0265797 0.00378977
6.6 1.5 1 1 1 0.0485864 0.00361386
6.6 1.7 1 1 1 0.0665334 0.00287803
6.6 1.9 1 1 1 0.082442 0.00278772

6.7 1.1 1 1 1 0.000684775 0.00533952
6.7 1.3 1 1 1 0.0267292 0.00377488
6.7 1.5 1 1 1 0.0478515 0.00318479
6.7 1.7 1 1 1 0.065728 0.00280485
6.7 1.9 1 1 1 0.081446 0.00231141

6.8 1.1 1 1 1 0.000869969 0.00548195
6.8 1.3 1 1 1 0.0269524 0.00407681
6.8 1.5 1 1 1 0.0475448 0.00327899
6.8 1.7 1 1 1 0.0647373 0.00306548
6.8 1.9 1 1 1 0.0804402 0.00235984

6.9 1.1 1 1 1 0.00062649 0.00528015
6.9 1.3 1 1 1 0.0263873 0.00342044
6.9 1.5 1 1 1 0.0464576 0.00317106
6.9 1.7 1 1 1 0.0644316 0.00260961
6.9 1.9 1 1 1 0.0793205 0.00234702

7 1.1 1 1 1 0.000685556 0.00521549
7 1.3 1 1 1 0.0260004 0.00360307
7 1.5 1 1 1 0.0462161 0.00340794
7 1.7 1 1 1 0.0634161 0.0027195
7 1.9 1 1 1 0.0783456 0.00239403

7.1 1.1 1 1 1 0.00096425 0.00474904
7.1 1.3 1 1 1 0.0260757 0.00364282
7.1 1.5 1 1 1 0.045385 0.00327288
7.1 1.7 1 1 1 0.0623144 0.00257304
7.1 1.9 1 1 1 0.0774497 0.00215938

7.2 1.1 1 1 1 0.00104639 0.00425921
7.2 1.3 1 1 1 0.0256825 0.00389315
7.2 1.5 1 1 1 0.0443993 0.00337508
7.2 1.7 1 1 1 0.0618563 0.00263694
7.2 1.9 1 1 1 0.0763714 0.0023089

7.3 1.1 1 1 1 0.000679688 0.00566827
7.3 1.3 1 1 1 0.0244221 0.00361134
7.3 1.5 1 1 1 0.0444782 0.00350578
7.3 1.7 1 1 1 0.0607601 0.0029129
7.3 1.9 1 1 1 0.0753081 0.00202261

7.4 1.1 1 1 1 0.00130861 0.00489137
7.4 1.3 1 1 1 0.0254157 0.00339344
7.4 1.5 1 1 1 0.0447253 0.0029552
7.4 1.7 1 1 1 0.0607412 0.00252997
7.4 1.9 1 1 1 0.0745468 0.00224885

7.5 1.1 1 1 1 0.0012303 0.00509673
7.5 1.3 1 1 1 0.0251289 0.00349701
7.5 1.5 1 1 1 0.0440758 0.00299641
7.5 1.7 1 1 1 0.0597916 0.00234811
7.5 1.9 1 1 1 0.0739138 0.0021995

7.6 1.1 1 1 1 0.00202369 0.00494577
7.6 1.3 1 1 1 0.0247556 0.00360446
7.6 1.5 1 1 1 0.0432117 0.00291685
7.6 1.7 1 1 1 0.0590661 0.00271209
7.6 1.9 1 1 1 0.0728036 0.00205256

7.7 1.1 1 1 1 0.000992637 0.00483815
7.7 1.3 1 1 1 0.0246024 0.00448533
7.7 1.5 1 1 1 0.0422547 0.00278827
7.7 1.7 1 1 1 0.058195 0.00235307
7.7 1.9 1 1 1 0.0721687 0.00201058

7.8 1.1 1 1 1 0.000867406 0.00420306
7.8 1.3 1 1 1 0.0242379 0.00353577
7.8 1.5 1 1 1 0.0420901 0.00302961
7.8 1.7 1 1 1 0.0576922 0.00237811
7.8 1.9 1 1 1 0.0714494 0.00210706

7.9 1.1 1 1 1 0.0022206 0.00524053
7.9 1.3 1 1 1 0.0234849 0.00388574
7.9 1.5 1 1 1 0.0414931 0.00231997
7.9 1.7 1 1 1 0.0573691 0.00248169
7.9 1.9 1 1 1 0.0703436 0.00197297

8 1.1 1 1 1 0.0017002 0.00435195
8 1.3 1 1 1 0.0230764 0.00357003
8 1.5 1 1 1 0.0410842 0.00317429
8 1.7 1 1 1 0.0568496 0.00237866
8 1.9 1 1 1 0.0691606 0.00235051

8.1 1.1 1 1 1 0.00103236 0.00488846
8.1 1.3 1 1 1 0.0238535 0.00375412
8.1 1.5 1 1 1 0.0404933 0.00266372
8.1 1.7 1 1 1 0.0558688 0.00232332
8.1 1.9 1 1 1 0.068783 0.00239219

8.2 1.1 1 1 1 0.00123736 0.00460235
8.2 1.3 1 1 1 0.022455 0.00288757
8.2 1.5 1 1 1 0.0405381 0.00308648
8.2 1.7 1 1 1 0.0557138 0.00216101
8.2 1.9 1 1 1 0.0682751 0.00225023

8.3 1.1 1 1 1 0.000241885 0.00470036
8.3 1.3 1 1 1 0.0226966 0.00352705
8.3 1.5 1 1 1 0.0401022 0.00305334
8.3 1.7 1 1 1 0.0548738 0.00238757
8.3 1.9 1 1 1 0.0673947 0.0021628

8.4 1.1 1 1 1 0.00209757 0.00416632
8.4 1.3 1 1 1 0.0225468 0.0033782
8.4 1.5 1 1 1 0.0401093 0.00275814
8.4 1.7 1 1 1 0.0542458 0.00226446
8.4 1.9 1 1 1 0.0665627 0.00197206

8.5 1.1 1 1 1 0.00119201 0.00407318
8.5 1.3 1 1 1 0.0233828 0.00340708
8.5 1.5 1 1 1 0.0390526 0.00265759
8.5 1.7 1 1 1 0.0535781 0.00213066
8.5 1.9 1 1 1 0.0659121 0.00218397

8.6 1.1 1 1 1 0.00156051 0.00418711
8.6 1.3 1 1 1 0.0220309 0.00353541
8.6 1.5 1 1 1 0.0387426 0.00312373
8.6 1.7 1 1 1 0.0534108 0.00249287
8.6 1.9 1 1 1 0.0658598 0.00242099

8.7 1.1 1 1 1 0.00158149 0.00439291
8.7 1.3 1 1 1 0.022002 0.00346476
8.7 1.5 1 1 1 0.0387598 0.00309023
8.7 1.7 1 1 1 0.0523647 0.00215903
8.7 1.9 1 1 1 0.0646513 0.00209774

8.8 1.1 1 1 1 0.00113044 0.00449358
8.8 1.3 1 1 1 0.0216043 0.00334944
8.8 1.5 1 1 1 0.0379873 0.00326326
8.8 1.7 1 1 1 0.0523262 0.00196232
8.8 1.9 1 1 1 0.0638006 0.00198118

8.9 1.1 1 1 1 0.00193646 0.00442792
8.9 1.3 1 1 1 0.022194 0.00297561
8.9 1.5 1 1 1 0.0377866 0.00266644
8.9 1.7 1 1 1 0.0513026 0.00201411
8.9 1.9 1 1 1 0.0633749 0.00201328

9 1.1 1 1 1 0.00270725 0.0039645
9 1.3 1 1 1 0.021366 0.00339028
9 1.5 1 1 1 0.0374891 0.00263812
9 1.7 1 1 1 0.0507351 0.00229366
9 1.9 1 1 1 0.0626414 0.00201305

9.1 1.1 1 1 1 0.00155059 0.00418803
9.1 1.3 1 1 1 0.0214124 0.0033544
9.1 1.5 1 1 1 0.0369057 0.0025694
9.1 1.7 1 1 1 0.0506751 0.002309
9.1 1.9 1 1 1 0.0621159 0.00210453

9.2 1.1 1 1 1 0.0017176 0.00467938
9.2 1.3 1 1 1 0.0211306 0.00315704
9.2 1.5 1 1 1 0.0365167 0.00281124
9.2 1.7 1 1 1 0.0501578 0.00210008
9.2 1.9 1 1 1 0.0617967 0.00211185

9.3 1.1 1 1 1 0.00152408 0.00398468
9.3 1.3 1 1 1 0.0207783 0.00317554
9.3 1.5 1 1 1 0.0367953 0.00264581
9.3 1.7 1 1 1 0.0498778 0.00199353
9.3 1.9 1 1 1 0.0611937 0.00166932

9.4 1.1 1 1 1 0.000845835 0.00362412
9.4 1.3 1 1 1 0.0208252 0.00307237
9.4 1.5 1 1 1 0.0356764 0.00253517
9.4 1.7 1 1 1 0.0491907 0.00208095
9.4 1.9 1 1 1 0.0601452 0.00186841

9.5 1.1 1 1 1 0.000965655 0.00392322
9.5 1.3 1 1 1 0.0203421 0.00324661
9.5 1.5 1 1 1 0.03559 0.00254689
9.5 1.7 1 1 1 0.0485876 0.0021321
9.5 1.9 1 1 1 0.0598615 0.00180771

9.6 1.1 1 1 1 0.00189793 0.00418487
9.6 1.3 1 1 1 0.0204939 0.00291811
9.6 1.5 1 1 1 0.0358951 0.00241522
9.6 1.7 1 1 1 0.0484312 0.00199086
9.6 1.9 1 1 1 0.0592164 0.00182912

9.7 1.1 1 1 1 0.00119892 0.00394029
9.7 1.3 1 1 1 0.0203151 0.00275434
9.7 1.5 1 1 1 0.0351358 0.00246776
9.7 1.7 1 1 1 0.0478065 0.00212555
9.7 1.9 1 1 1 0.0590711 0.00174232

9.8 1.1 1 1 1 0.0025929 0.00400327
9.8 1.3 1 1 1 0.0202502 0.00271104
9.8 1.5 1 1 1 0.0347031 0.00224593
9.8 1.7 1 1 1 0.0471122 0.00206837
9.8 1.9 1 1 1 0.0584807 0.00175976

9.9 1.1 1 1 1 0.00184386 0.00405364
9.9 1.3 1 1 1 0.0199393 0.00266837
9.9 1.5 1 1 1 0.0351032 0.00283305
9.9 1.7 1 1 1 0.0467632 0.00199415
9.9 1.9 1 1 1 0.0578212 0.00206821

10 1.1 1 1 1 0.00123556 0.00423495
10 1.3 1 1 1 0.0195438 0.00313928
10 1.5 1 1 1 0.0344216 0.00274489
10 1.7 1 1 1 0.0460488 0.00197225
10 1.9 1 1 1 0.0571566 0.0015993

