alpha b0 d sigma tau Gmean Gstd
1.3 1.25 1 0.75 1 0.0627273 0.0094021
1.3 1.25 1 0.8 1 0.0567041 0.0101135
1.3 1.25 1 0.85 1 0.0504798 0.011118
1.3 1.25 1 0.9 1 0.0433784 0.0118521
1.3 1.25 1 0.95 1 0.035282 0.0127278
1.3 1.25 1 1 1 0.0263923 0.0137721
1.3 1.25 1 1.05 1 0.0159266 0.0150079
1.3 1.25 1 1.1 1 0.00459362 0.016127
1.3 1.25 1 1.15 1 -0.00835687 0.0174317
1.3 1.25 1 1.2 1 -0.0243084 0.0190283

1.4 1.25 1 0 1 0.094778 6.11702e-08
1.4 1.25 1 0.05 1 0.0946492 0.00054977
1.4 1.25 1 0.1 1 0.0942332 0.00111006
1.4 1.25 1 0.15 1 0.0935617 0.00165415
1.4 1.25 1 0.2 1 0.0926355 0.00222323
1.4 1.25 1 0.25 1 0.0913898 0.00275166
1.4 1.25 1 0.3 1 0.089761 0.00334649
1.4 1.25 1 0.35 1 0.0880437 0.00388123
1.4 1.25 1 0.4 1 0.0859004 0.00446948
1.4 1.25 1 0.45 1 0.0834333 0.00511245
1.4 1.25 1 0.5 1 0.0806484 0.00562657
1.4 1.25 1 0.55 1 0.0774367 0.00632306
1.4 1.25 1 0.6 1 0.0739124 0.00692616
1.4 1.25 1 0.65 1 0.0701297 0.00761385
1.4 1.25 1 0.7 1 0.0658041 0.00825969
1.4 1.25 1 0.75 1 0.0608625 0.00895745
1.4 1.25 1 0.8 1 0.0554014 0.00987178
1.4 1.25 1 0.85 1 0.0493492 0.0104896
1.4 1.25 1 0.9 1 0.0426867 0.0113742
1.4 1.25 1 0.95 1 0.0350819 0.0122872
1.4 1.25 1 1 1 0.0268438 0.0130776
1.4 1.25 1 1.05 1 0.0171965 0.014256
1.4 1.25 1 1.1 1 0.00663273 0.0153659
1.4 1.25 1 1.15 1 -0.00612292 0.0167215
1.4 1.25 1 1.2 1 -0.0212954 0.0184075

1.5 1.25 1 0 1 0.0908575 6.53653e-08
1.5 1.25 1 0.05 1 0.0907341 0.000522418
1.5 1.25 1 0.1 1 0.0903685 0.00103301
1.5 1.25 1 0.15 1 0.0897148 0.00157549
1.5 1.25 1 0.2 1 0.0888122 0.00209718
1.5 1.25 1 0.25 1 0.0876976 0.00264348
1.5 1.25 1 0.3 1 0.0863433 0.00320187
1.5 1.25 1 0.35 1 0.0845627 0.0037689
1.5 1.25 1 0.4 1 0.0826194 0.00430855
1.5 1.25 1 0.45 1 0.0803418 0.00485829
1.5 1.25 1 0.5 1 0.0776923 0.0054368
1.5 1.25 1 0.55 1 0.0747463 0.00612222
1.5 1.25 1 0.6 1 0.07142 0.00665322
1.5 1.25 1 0.65 1 0.0677374 0.00728755
1.5 1.25 1 0.7 1 0.0637615 0.0078899
1.5 1.25 1 0.75 1 0.0590563 0.00870273
1.5 1.25 1 0.8 1 0.0539683 0.00924194
1.5 1.25 1 0.85 1 0.04839 0.00989101
1.5 1.25 1 0.9 1 0.042164 0.0107856
1.5 1.25 1 0.95 1 0.0348923 0.0117494
1.5 1.25 1 1 1 0.0272661 0.0126419
1.5 1.25 1 1.05 1 0.0181115 0.0135934
1.5 1.25 1 1.1 1 0.00794814 0.0149331
1.5 1.25 1 1.15 1 -0.0042669 0.0160939
1.5 1.25 1 1.2 1 -0.0186952 0.0176162

1.6 1.25 1 0 1 0.0872534 5.1121e-08
1.6 1.25 1 0.05 1 0.0871343 0.000505803
1.6 1.25 1 0.1 1 0.0867659 0.00101396
1.6 1.25 1 0.15 1 0.0861805 0.00150215
1.6 1.25 1 0.2 1 0.0853607 0.00201731
1.6 1.25 1 0.25 1 0.0842728 0.00254444
1.6 1.25 1 0.3 1 0.0829864 0.00307201
1.6 1.25 1 0.35 1 0.0813938 0.00356433
1.6 1.25 1 0.4 1 0.0795144 0.00413973
1.6 1.25 1 0.45 1 0.0773752 0.00465767
1.6 1.25 1 0.5 1 0.0749106 0.00524599
1.6 1.25 1 0.55 1 0.0722282 0.00583688
1.6 1.25 1 0.6 1 0.0691452 0.00639477
1.6 1.25 1 0.65 1 0.0654986 0.00703441
1.6 1.25 1 0.7 1 0.0617999 0.00761466
1.6 1.25 1 0.75 1 0.0575721 0.0083561
1.6 1.25 1 0.8 1 0.0528207 0.00914029
1.6 1.25 1 0.85 1 0.0474156 0.00968051
1.6 1.25 1 0.9 1 0.0414667 0.0104397
1.6 1.25 1 0.95 1 0.0350109 0.0112328
1.6 1.25 1 1 1 0.0273635 0.0120707
1.6 1.25 1 1.05 1 0.0189028 0.013213
1.6 1.25 1 1.1 1 0.00925468 0.0144931
1.6 1.25 1 1.15 1 -0.00210749 0.0156189
1.6 1.25 1 1.2 1 -0.0158877 0.0172585

1.7 1.25 1 0 1 0.0839283 -nan
1.7 1.25 1 0.05 1 0.0838148 0.000487818
1.7 1.25 1 0.1 1 0.0834908 0.000960628
1.7 1.25 1 0.15 1 0.082921 0.00145618
1.7 1.25 1 0.2 1 0.0821599 0.00195065
1.7 1.25 1 0.25 1 0.0811441 0.00245123
1.7 1.25 1 0.3 1 0.0798618 0.00295147
1.7 1.25 1 0.35 1 0.0783718 0.00343703
1.7 1.25 1 0.4 1 0.0767358 0.00397017
1.7 1.25 1 0.45 1 0.0746924 0.00444799
1.7 1.25 1 0.5 1 0.0724632 0.00500604
1.7 1.25 1 0.55 1 0.0698937 0.00555497
1.7 1.25 1 0.6 1 0.0670393 0.00614952
1.7 1.25 1 0.65 1 0.0638576 0.00666097
1.7 1.25 1 0.7 1 0.0601697 0.00730649
1.7 1.25 1 0.75 1 0.0560544 0.00798778
1.7 1.25 1 0.8 1 0.051442 0.00859899
1.7 1.25 1 0.85 1 0.0467817 0.00931468
1.7 1.25 1 0.9 1 0.0409603 0.0100815
1.7 1.25 1 0.95 1 0.0346965 0.0108585
1.7 1.25 1 1 1 0.0278672 0.0118468
1.7 1.25 1 1.05 1 0.0198812 0.0126611
1.7 1.25 1 1.1 1 0.0107114 0.0138187
1.7 1.25 1 1.15 1 -0.000303232 0.0150063
1.7 1.25 1 1.2 1 -0.0134907 0.0164033

1.8 1.25 1 0 1 0.0808508 -nan
1.8 1.25 1 0.05 1 0.0807447 0.000463937
1.8 1.25 1 0.1 1 0.0804399 0.000924998
1.8 1.25 1 0.15 1 0.0799219 0.00140021
1.8 1.25 1 0.2 1 0.0791719 0.00185768
1.8 1.25 1 0.25 1 0.0782542 0.00233309
1.8 1.25 1 0.3 1 0.0770816 0.00283792
1.8 1.25 1 0.35 1 0.0757099 0.0032984
1.8 1.25 1 0.4 1 0.074037 0.00377009
1.8 1.25 1 0.45 1 0.0721645 0.00429182
1.8 1.25 1 0.5 1 0.0700869 0.00486723
1.8 1.25 1 0.55 1 0.067714 0.00533437
1.8 1.25 1 0.6 1 0.0649666 0.00595025
1.8 1.25 1 0.65 1 0.0619614 0.00657295
1.8 1.25 1 0.7 1 0.0584879 0.00706804
1.8 1.25 1 0.75 1 0.0548197 0.00768698
1.8 1.25 1 0.8 1 0.0506848 0.00835156
1.8 1.25 1 0.85 1 0.0459105 0.00906665
1.8 1.25 1 0.9 1 0.040637 0.00976393
1.8 1.25 1 0.95 1 0.0348578 0.0103667
1.8 1.25 1 1 1 0.0284466 0.011255
1.8 1.25 1 1.05 1 0.0207082 0.0122049
1.8 1.25 1 1.1 1 0.0120299 0.0133111
1.8 1.25 1 1.15 1 0.00147167 0.0146767
1.8 1.25 1 1.2 1 -0.0111041 0.0160364

1.9 1.25 1 0 1 0.0779938 4.1263e-08
1.9 1.25 1 0.05 1 0.0778954 0.000444838
1.9 1.25 1 0.1 1 0.0776055 0.000902089
1.9 1.25 1 0.15 1 0.0771212 0.00134259
1.9 1.25 1 0.2 1 0.0764274 0.00180257
1.9 1.25 1 0.25 1 0.075531 0.00226824
1.9 1.25 1 0.3 1 0.074448 0.00274606
1.9 1.25 1 0.35 1 0.073161 0.00318915
1.9 1.25 1 0.4 1 0.0716342 0.00367047
1.9 1.25 1 0.45 1 0.0699174 0.00417751
1.9 1.25 1 0.5 1 0.0678371 0.00463112
1.9 1.25 1 0.55 1 0.0655683 0.00517493
1.9 1.25 1 0.6 1 0.0630022 0.00572387
1.9 1.25 1 0.65 1 0.0602304 0.00624573
1.9 1.25 1 0.7 1 0.0570245 0.0068649
1.9 1.25 1 0.75 1 0.0535413 0.00731724
1.9 1.25 1 0.8 1 0.0495865 0.0079979
1.9 1.25 1 0.85 1 0.0452862 0.00866767
1.9 1.25 1 0.9 1 0.040384 0.00945853
1.9 1.25 1 0.95 1 0.0348219 0.0100247
1.9 1.25 1 1 1 0.0285894 0.010859
1.9 1.25 1 1.05 1 0.0216988 0.0120313
1.9 1.25 1 1.1 1 0.0130283 0.0130671
1.9 1.25 1 1.15 1 0.00337104 0.0139911
1.9 1.25 1 1.2 1 -0.00844741 0.0155197

2 1.25 1 0 1 0.0753342 3.41809e-08
2 1.25 1 0.05 1 0.0752423 0.000430902
2 1.25 1 0.1 1 0.0749715 0.00087184
2 1.25 1 0.15 1 0.074527 0.00131143
2 1.25 1 0.2 1 0.0738924 0.00174742
2 1.25 1 0.25 1 0.0730301 0.00219434
2 1.25 1 0.3 1 0.0720207 0.00261594
2 1.25 1 0.35 1 0.0708075 0.00305144
2 1.25 1 0.4 1 0.0693766 0.00355981
2 1.25 1 0.45 1 0.0676679 0.00398773
