sigma,init_a,final_awake_rate,replicate,worker_id
0.1,7.98104925987541,20.189244403919716,4,4
0.1,7.98104925987541,1.8080697611811414,5,17
0.1,7.98104925987541,8.490137129347435,6,13
0.1,7.98104925987541,1.1146989948725887,7,8
0.1,7.98104925987541,13.15002028090819,8,10
0.1,7.98104925987541,1.3371982298906768,9,7
0.1,7.98104925987541,10.064578389510688,10,15
0.1,10.04754572603819,61.687125237770026,1,2
0.1,10.04754572603819,23.79926905124784,2,3
0.1,10.04754572603819,1.0464019313847823,3,9
0.1,10.04754572603819,8.591514671883065,4,5
0.1,10.04754572603819,8.03431377364877,5,14
0.1,10.04754572603819,11.407170201713344,6,12
0.1,10.04754572603819,1.242726903501491,7,6
0.1,10.04754572603819,11.35453245309645,8,16
0.1,10.04754572603819,3.86466192178651,9,11
0.1,10.04754572603819,9.600965128451758,10,4
0.1,12.649110640673706,2.891326038522236,1,13
0.1,12.649110640673706,22.688852693615942,2,8
0.1,12.649110640673706,1.3463478591697833,3,17
0.1,12.649110640673706,35.236253839749125,4,2
0.1,12.649110640673706,0.17794357073135836,5,10
0.1,12.649110640673706,2.9690996288969935,6,5
0.1,12.649110640673706,16.36758152816611,7,3
0.1,12.649110640673706,25.764406035639585,8,14
0.1,12.649110640673706,2.433025245480624,9,12
0.1,12.649110640673706,7.136242482166952,10,15
4.8315789473684205,0.1264911064067329,0.012789436374155614,1,7
4.8315789473684205,0.1264911064067329,0.22507843118365206,2,9
4.8315789473684205,0.1264911064067329,0.8111053375004504,3,6
4.8315789473684205,0.1264911064067329,0.06527611518199221,4,16
4.8315789473684205,0.1264911064067329,0.1779509178543817,5,8
4.8315789473684205,0.1264911064067329,0.03396957530305199,6,3
4.8315789473684205,0.1264911064067329,0.03494228768583661,7,4
4.8315789473684205,0.1264911064067329,0.029631544070230355,8,5
4.8315789473684205,0.1264911064067329,0.7565848649808062,9,11
4.8315789473684205,0.1264911064067329,0.20216288400018403,10,2
4.8315789473684205,0.15924286822140069,0.10840192807342472,1,17
4.8315789473684205,0.15924286822140069,0.04793151086387087,2,13
4.8315789473684205,0.15924286822140069,0.28759141036045216,3,14
4.8315789473684205,0.15924286822140069,0.13072516660955716,4,7
4.8315789473684205,0.15924286822140069,0.7868629555170031,5,15
4.8315789473684205,0.15924286822140069,0.035425777164468396,6,6
4.8315789473684205,0.15924286822140069,0.02429336516089321,7,10
4.8315789473684205,0.15924286822140069,0.008287651445050236,8,12
4.8315789473684205,0.15924286822140069,0.24805218792956207,9,9
4.8315789473684205,0.15924286822140069,0.04011466202763679,10,3
4.8315789473684205,0.2004748934509098,0.9076632668857664,1,16
4.8315789473684205,0.2004748934509098,0.21030369389282874,2,2
4.8315789473684205,0.2004748934509098,0.02119917051359542,3,17
4.8315789473684205,0.2004748934509098,0.40125605863264596,4,7
4.8315789473684205,0.2004748934509098,0.18230892951434816,5,4
4.8315789473684205,0.2004748934509098,0.2025109692494144,6,5
4.8315789473684205,0.2004748934509098,0.04571158807950418,7,8
4.8315789473684205,0.2004748934509098,0.044232238458182964,8,11
4.8315789473684205,0.2004748934509098,0.02652251023268419,9,13
4.8315789473684205,0.2004748934509098,0.07915794720996373,10,14
4.8315789473684205,0.2523829377920776,0.6683750382979201,1,12
4.8315789473684205,0.2523829377920776,0.41518721453025936,2,6
4.8315789473684205,0.2523829377920776,0.42946128099128883,3,15
4.8315789473684205,0.2523829377920776,0.058693127865498386,4,10
4.8315789473684205,0.2523829377920776,2.2408726563465584,5,17
4.8315789473684205,0.2523829377920776,0.026909649502988357,6,7
4.8315789473684205,0.2523829377920776,0.08996306220592985,7,9
4.8315789473684205,0.2523829377920776,0.16324305700595607,8,3
4.8315789473684205,0.2523829377920776,0.2990688603872293,9,16
4.8315789473684205,0.2523829377920776,0.09213546083329735,10,12
4.8315789473684205,0.3177312938897171,0.0312636342993537,1,2
4.8315789473684205,0.3177312938897171,0.09422827068871083,2,6
4.8315789473684205,0.3177312938897171,0.02717997106863993,3,4
4.8315789473684205,0.3177312938897171,0.2072092980063738,4,5
4.8315789473684205,0.3177312938897171,0.08102404029626462,5,8
4.8315789473684205,0.3177312938897171,0.0385232780480498,6,11
4.8315789473684205,0.3177312938897171,0.11000002192220094,7,13
4.8315789473684205,0.3177312938897171,0.06578500419099059,8,14
4.8315789473684205,0.3177312938897171,1.832051454328068,9,17
4.8315789473684205,0.3177312938897171,0.06404158992240881,10,7
4.8315789473684205,0.39999999999999436,0.2624537291898908,1,15
